No,Name,Type,Maps Link,,
105,Kesenian Rakyat Reog Dor dan Barongan,budaya,,,
106,Seni Macapat dan Karawitan,budaya,,,
107,Museum Batik Sulaman,budaya,,,
108,Penyangga Kawasan Obyek Wisata Kraton Kadipaten Pakualaman,budaya,https://maps.app.goo.gl/igEi1BuG67bz1HJw9,,
109,Berbagai Seni Pertunjukan dan Hasil Budaya Tradisional Pakualaman,budaya,,,
110,Museum Puro P akualaman,budaya,,,
111,Atraksi Karawistan Ki Wasitodiningrat,budaya,,,
112,Seni Budaya Lokal Jogoyudan,budaya,,,
113,Seni Budaya Lokal Suryatmajan,budaya,,,
114,Seni Budaya Lokal Panembahan,budaya,,,
115,Tata Kelola Pertanian Kota,buatan,,,
116,Pembuatan Kuliner Keripik,buatan,,,
117,Berbagai Wisata Kuliner,buatan,,,
118,Kampung Pneghasil Souvenir,buatan,,,
119,Kuliner Lapangan Karangan,buatan,,,
120,Festival Kipo,buatan,,,
121,Pusat Kerajinan dan Kuliner XT Square,buatan,https://maps.app.goo.gl/wwEbA4QMxN4VYJk39,,
122,Industri Pembuatan Replika,buatan,,,
123,Makam Ki Hajar Dewantara,buatan,https://maps.app.goo.gl/Q4jDqGgfRQP2VTYk8,,
124,Sanggar Edukasi,buatan,,,
125,Kerajinan Bahan Daur Ulang dan Kuliner Jajanan pasar,buatan,,,
126,Museum Sasana Wiratama Pangeran Diponegoro,buatan,https://maps.app.goo.gl/Q4jDqGgfRQP2VTYk8,,
127,Wisata Kuliner Seperti Jamu Ginggang dan Gudeg Permata,buatan,https://maps.app.goo.gl/5nEJtG9q9gS4MKfm7,,
128,Outbond Susur Sungai,buatan,,,
129,Museum Biologi Universitas Gadjah Mada,buatan,https://maps.app.goo.gl/rhPHdriPrXBfuMMW6,,
130,Wisata Sungai Jogoyudan,buatan,,,
131,Wisata Sungai Ratmakan,buatan,,,
132,Museum Benteng Vrederburg,buatan,https://maps.app.goo.gl/EjeiKdJi7gH1LhuA9,,
133,Wisata Sungai Suryatmajan,buatan,,,
134,Museum Pusat Angkatan Darat Dharma Wiratama,buatan,https://maps.app.goo.gl/973EBAePZWsgYb6Z9,,
135,Sentra Pembuatan Bakpia Pathuk,buatan,https://maps.app.goo.gl/j4YcCdWrRskxd9n78,,
136,Goa Maria Sendangsono,buatan,https://maps.app.goo.gl/SuHVEC3NYQA7jcrk6,,
137,Agrowisata Bukit Bugisan,alam,https://maps.app.goo.gl/PhBnYcph9sZ7uuTMA,,
138,Susur Sungai Opak,budaya,https://maps.app.goo.gl/vbJCDs4ckLZN29Gm9,,
139,Candi Banyunibo,budaya,https://maps.app.goo.gl/Pru8XzhnJQXkGWxJA,,
140,Candi Barong,budaya,https://maps.app.goo.gl/LEL6eHstqsW5q5bx5,,
141,Situs Ratu Boko,budaya,https://maps.app.goo.gl/sXMCHBRgFC6rTVeHA,,
142,Candi Dawangsari,budaya,https://maps.app.goo.gl/VHDP5CgcZJmwXcLL7,,
143,Candi Gupolo,budaya,https://maps.app.goo.gl/pJRGLhMTax1d9Qth9,,
144,Candi Gana,budaya,https://maps.app.goo.gl/VkaJ8mutUzD9fXuc6,,
145,Candi Sojiwan,budaya,https://maps.app.goo.gl/L5biU9sfBbRPJceF7,,
146,Candi Kalasan,budaya,https://maps.app.goo.gl/aRAYu9YRZ1wcPqhk9,,
147,Candi Kedulan,budaya,https://maps.app.goo.gl/XFEdtGELMPPp9N14A,,
148,Candi Sari,budaya,https://maps.app.goo.gl/DD7qsUrBVF6p7bPQ6,,
149,Taman Wisata Candi Prambanan,buatan,https://maps.app.goo.gl/ETeCopirBE41snDi9,,
150,Botanical Heritage Park Bugisan,buatan,,,
