No,Name,Type,Maps_Link,lat,long,longlat
117,Berbagai Wisata Kuliner,buatan,,,,
118,Kampung Pneghasil Souvenir,buatan,,,,
119,Kuliner Lapangan Karangan,buatan,,,,
120,Festival Kipo,buatan,,,,
121,Pusat Kerajinan dan Kuliner XT Square,buatan,https://maps.app.goo.gl/wwEbA4QMxN4VYJk39,-7.8172254,110.3866735,"110.386674,-7.817225"
122,Industri Pembuatan Replika,buatan,,,,
123,Makam Ki Hajar Dewantara,buatan,https://maps.app.goo.gl/Q4jDqGgfRQP2VTYk8,-7.8067159,110.3824788,"110.382479,-7.806716"
124,Sanggar Edukasi,buatan,,,,
125,Kerajinan Bahan Daur Ulang dan Kuliner Jajanan pasar,buatan,,,,
126,Museum Sasana Wiratama Pangeran Diponegoro,buatan,https://maps.app.goo.gl/Q4jDqGgfRQP2VTYk8,-7.8067159,110.3824788,"110.382479,-7.806716"
127,Wisata Kuliner Seperti Jamu Ginggang dan Gudeg Permata,buatan,https://maps.app.goo.gl/5nEJtG9q9gS4MKfm7,-7.8008336,110.3747477,"110.374748,-7.800834"
128,Outbond Susur Sungai,buatan,,,,
129,Museum Biologi Universitas Gadjah Mada,buatan,https://maps.app.goo.gl/rhPHdriPrXBfuMMW6,-7.8018633,110.3743934,"110.374393,-7.801863"
130,Wisata Sungai Jogoyudan,buatan,,,,
131,Wisata Sungai Ratmakan,buatan,,,,
132,Museum Benteng Vrederburg,buatan,https://maps.app.goo.gl/EjeiKdJi7gH1LhuA9,-7.7995847,110.3703263,"110.370326,-7.799585"
133,Wisata Sungai Suryatmajan,buatan,,,,
134,Museum Pusat Angkatan Darat Dharma Wiratama,buatan,https://maps.app.goo.gl/973EBAePZWsgYb6Z9,-7.782924,110.375582,"110.375582,-7.782924"
135,Sentra Pembuatan Bakpia Pathuk,buatan,https://maps.app.goo.gl/j4YcCdWrRskxd9n78,-7.7966308,110.3580388,"110.358039,-7.796631"
136,Goa Maria Sendangsono,buatan,https://maps.app.goo.gl/SuHVEC3NYQA7jcrk6,-7.6679857,110.2255368,"110.225537,-7.667986"
137,Agrowisata Bukit Bugisan,alam,https://maps.app.goo.gl/PhBnYcph9sZ7uuTMA,-7.7401496,110.5054556,"110.505456,-7.740150"
138,Susur Sungai Opak,budaya,https://maps.app.goo.gl/vbJCDs4ckLZN29Gm9,-7.8883113,110.3785518,"110.378552,-7.888311"
139,Candi Banyunibo,budaya,https://maps.app.goo.gl/Pru8XzhnJQXkGWxJA,-7.8883113,110.3785518,"110.378552,-7.888311"
140,Candi Barong,budaya,https://maps.app.goo.gl/LEL6eHstqsW5q5bx5,-7.7779715,110.4940426,"110.494043,-7.777971"
141,Situs Ratu Boko,budaya,https://maps.app.goo.gl/sXMCHBRgFC6rTVeHA,-7.7705683,110.4861422,"110.486142,-7.770568"
142,Candi Dawangsari,budaya,https://maps.app.goo.gl/VHDP5CgcZJmwXcLL7,-7.7740888,110.4975261,"110.497526,-7.774089"
143,Candi Gupolo,budaya,https://maps.app.goo.gl/pJRGLhMTax1d9Qth9,-7.7858375,110.4982031,"110.498203,-7.785838"
144,Candi Gana,budaya,https://maps.app.goo.gl/VkaJ8mutUzD9fXuc6,-7.7439739,110.4961361,"110.496136,-7.743974"
145,Candi Sojiwan,budaya,https://maps.app.goo.gl/L5biU9sfBbRPJceF7,-7.760866,110.4937936,"110.493794,-7.760866"
146,Candi Kalasan,budaya,https://maps.app.goo.gl/aRAYu9YRZ1wcPqhk9,-7.7672505,110.4723365,"110.472336,-7.767251"
147,Candi Kedulan,budaya,https://maps.app.goo.gl/XFEdtGELMPPp9N14A,-7.742562,110.4696979,"110.469698,-7.742562"
148,Candi Sari,budaya,https://maps.app.goo.gl/DD7qsUrBVF6p7bPQ6,-7.7615299,110.4742167,"110.474217,-7.761530"
149,Taman Wisata Candi Prambanan,buatan,https://maps.app.goo.gl/ETeCopirBE41snDi9,-7.7520206,110.4914674,"110.491467,-7.752021"
150,Botanical Heritage Park Bugisan,buatan,,,,
