OBJECTID,Name,Type,x,y
74,Museum dan Kampung Seni Borobudur,museum,411468.4699,9159481.325
75,Candi Mendut,attraction,415067.4673,9159315.435
76,Camp Kandang Kidang,camp_site,396837.849,9183673.584
77,Nepal Van Java,attraction,398166.4303,9179662.543
78,Joglo Jeep,gallery,420400.3838,9160548.045
79,Taman Rekreasi Kyai Langgeng Kab. Magelang,theme_park,412711.2825,9172731.957
80,PUNCAK WIDOSARI,attraction,406082.7796,9153435.972
81,Natural stone,artwork,426271.2336,9156067.146
82,Sunset viewpoint,viewpoint,413471.5862,9158357.759
83,EMBUNG TONOGORO,viewpoint,415676.0198,9153345.642
84,Borobudur Nirwana Sunrise,viewpoint,409279.3321,9159054.442
85,Preparation area Temple access,attraction,412632.1904,9159066.102
86,Village Klipoh (Nglipoh),attraction,410056.7085,9158043.508
87,Mongkrong Hill View,viewpoint,408947.7775,9156015.746
88,Bukit Rhema (Chicken Church),attraction,409614.0919,9159216.374
89,Bukit Barede,viewpoint,410059.2888,9159120.806
90,Punthuk Setumbu Reforestation Project,attraction,409287.929,9159041.036
91,Peta Borobudur,information,412773.6621,9159116.798
92,Candi Gunung Wukir,attraction,422440.5946,9156073.713
93,Informasi Cuaca dari BMKG,information,412690.9563,9159101.047
94,Peta Lokasi Situs di Kawasan Strategis Nasional Borobudur,information,412089.2075,9158964.905
95,Bukit Dagi,viewpoint,411784.1181,9159518.924
96,Borobudur Nirwana Sunrise / Punthuk Setumbu,information,409691.9113,9158642.821
97,Camping Ground Gunung Andong,camp_site,431278.1925,9183151.046
98,Gunung Kunir,viewpoint,403603.186,9156284.153
99,Grojogan Watu Purbo,attraction,427178.3329,9156561.948
100,ketep pass,viewpoint,431761.3951,9171447.046
101,Viewpoint Merapi,viewpoint,438934.8281,9174325.638
102,Gunung Merapi,viewpoint,439023.4329,9166531.394
103,Pos II,camp_site,439533.9419,9167441.821
104,Bukit Punthuk Setumbu,picnic_site,409310.8647,9159017.011
105,Borobudur Highlands,camp_site,405258.3344,9154799.068
106,Gedong Pass,viewpoint,438624.8501,9180226.306
107,Campground Pos Pemancar,camp_site,437869.2687,9177298.481
108,Jembatan Setan,information,438303.7209,9176689.957
109,HM9,information,437110.9357,9179452.995
110,Pos Bayangan 1,camp_pitch,436246.6391,9179666.971
111,Sunrise Camp Puncak Ngratan,camp_site,434233.5299,9185813.025
112,Pinttu Rimba,information,434288.0325,9174190.519
113,Balong Camping Ground,camp_site,434159.167,9187333.103
114,Rest Area,viewpoint,432894.1299,9171442.769
115,Museum BPK RI,museum,413278.4726,9173763.973
116,Mangli Sky View,viewpoint,400735.619,9181014.158
117,NEPAL VAN JAVA Dusun Butuh,artwork,398072.3204,9179669.18
