point_index,latitude,longitude,cluster,is_centre,centre_index
276,434442.3853,9130190.184,1,False,25
277,434433.3164,9130189.3189,1,False,25
278,432984.4345,9124525.2805,1,False,25
279,434086.4508,9139763.4557,8,False,254
280,428250.6738,9136044.1552,8,False,254
281,420666.2735,9138694.494,8,False,254
282,428938.1716,9141488.4011,8,False,254
283,422397.186,9114578.135,4,False,112
284,423096.328,9114614.2248,4,False,112
285,430168.9526,9137345.6292,8,False,254
286,429041.1271,9137264.7935,8,False,254
287,430198.3547,9135674.121,8,False,254
288,435676.1631,9141074.9972,8,False,254
289,430363.3297,9136155.0297,8,False,254
290,429762.2503,9136821.6782,8,False,254
291,398171.7201,9124817.0131,2,False,169
292,429926.3011,9136839.1494,8,False,254
293,432426.6326,9140545.2558,8,False,254
294,431902.4126,9141192.9598,8,False,254
295,430738.3657,9157121.4736,3,False,43
296,433438.6556,9139667.5455,8,False,254
297,439856.4518,9162436.78,3,False,43
298,437600.57,9159252.2591,3,False,43
299,430657.609,9139457.7834,8,False,254
300,429351.4828,9136788.4774,8,False,254
