osm_id,x,y,,,
10774607747,428691.734700,9137750.941200,,,
10609419823,406082.779600,9153435.971700,,,
9605201479,402782.024000,9143216.046800,,,
8806522027,428658.285900,9146338.324300,,,
3623170401,405219.027800,9143580.004900,,,
10299654312,404188.501900,9144721.252300,,,
10299654611,404167.939900,9144794.170800,,,
9491384155,412543.043600,9147420.830600,,,
3481033672,439389.517300,9148344.204500,,,
5085151624,439508.291500,9159450.994500,,,
12638401718,440574.653700,9161826.720000,,,
10020006010,443924.762900,9143083.466600,,,
9793877613,410371.669500,9163193.981200,,,
8244428814,398066.051900,9130910.198400,,,
8241934035,403216.429200,9137705.835200,,,
8219690283,403357.909700,9137722.149800,,,
12872405256,420400.383800,9160548.044600,,,
5201463082,434769.464800,9142796.381000,,,
12634843103,403779.289400,9146234.896400,,,
10774907815,431468.201100,9137158.678900,,,
10302018234,436145.631300,9159054.721100,,,
10032747323,435469.822000,9154910.107600,,,
13096859971,433617.698800,9160194.064000,,,
5518179587,437350.155900,9161260.704800,,,
0,430011.877500,9135612.829300,,,
1095304135,442475.734200,9132312.245700,,,
627926483,451833.659200,9100621.610500,,,
310360780,455815.228700,9099551.343500,,,
310362416,456806.267800,9099419.193500,,,
310361685,450303.148600,9101440.542800,,,
310361805,450884.627700,9100918.954500,,,
664978429,452763.817000,9100515.925500,,,
310371252,453462.012100,9100404.457200,,,
627926482,451283.859100,9100843.896100,,,
310370325,452308.762800,9100525.866300,,,
310371954,457153.949400,9099129.050700,,,
310372811,458339.125300,9098494.086500,,,
364064740,466974.333100,9095098.942300,,,
364062272,462905.089200,9096270.935300,,,
1190185642,412265.101400,9159385.128000,,,
1166034335,411894.654400,9159103.733600,,,
201295597,411918.711900,9159306.343400,,,
613706990,434883.708600,9131177.934400,,,
613354731,435697.447700,9138960.546300,,,
535944235,429146.586600,9134602.895600,,,
110996272,433470.028900,9137117.100100,,,
530862903,435806.270000,9138899.140400,,,
122965970,429730.916800,9137155.293600,,,
739731309,429506.031200,9134703.072300,,,
362198001,434086.959700,9139727.481200,,,
1421137084,415810.516900,9137062.521200,,,
316773368,429871.454200,9137517.257400,,,
1464432284,430067.227200,9137583.057400,,,
613354736,435624.350800,9138899.339100,,,
1223399495,433240.838800,9134277.466300,,,
1420446744,433162.735100,9134383.929700,,,
1420435327,433254.071300,9134265.615200,,,
474496339,415067.467300,9159315.434600,,,
549662633,429341.621100,9136655.444500,,,
310373275,465102.769100,9095583.759100,,,
530392853,425441.052400,9137361.173700,,,
609459857,445367.389100,9144352.301600,,,
537403314,433258.038700,9142736.940700,,,
534916996,434449.590200,9130189.696700,,,
1020166733,434442.506300,9130181.608300,,,
610410080,433630.789200,9137174.747500,,,
301593193,429662.564400,9155328.652400,,,
361661917,436396.952200,9160140.050100,,,
216214440,433613.170700,9134496.166700,,,
365440822,441411.399100,9145773.020200,,,
122741626,412177.303900,9158962.559300,,,
1322466733,411468.469900,9159481.325100,,,
570627810,413913.051500,9159167.286200,,,
191260616,412124.864100,9159320.122900,,,
1339058491,409656.346700,9159208.886800,,,
1340667742,463644.240900,9133355.028700,,,
1124774604,450065.293500,9127450.897900,,,
256997594,444081.341700,9143978.944600,,,
620546188,445403.097800,9139817.012400,,,
1382315949,444282.712100,9143152.506400,,,
1018225857,440826.755800,9147208.828100,,,
1124378046,430641.272100,9139501.191500,,,
1124380002,428496.422800,9139247.779200,,,
542316518,444141.968300,9143372.718300,,,
1376985274,407888.211800,9132995.449200,,,
509815814,431302.571600,9145136.337400,,,
120381029,430491.165900,9143330.617400,,,
1099497133,429361.269100,9145680.316100,,,
886374283,404165.158300,9134902.344800,,,
613593758,430727.958800,9124007.853800,,,
1124774229,449656.670300,9121109.573100,,,
1096161600,451662.620100,9120277.441300,,,
566290698,431461.048500,9139076.707500,,,
363134991,435455.071000,9139791.547800,,,
1388767663,431157.262800,9137494.561800,,,
359047460,435287.347400,9136146.278500,,,
535893917,423753.361600,9123965.747300,,,
537202833,435620.019800,9143130.902800,,,
610114066,430067.325900,9137451.350700,,,
1152817623,430441.831400,9137318.549400,,,
1124727877,430121.911600,9137296.994500,,,
928792511,429011.777300,9136342.455800,,,
1032826892,425219.460200,9130494.238900,,,
542298637,429841.869000,9136901.365700,,,
123631553,431025.650800,9137555.718200,,,
613241284,427191.297300,9135543.766900,,,
612884365,425004.546700,9124602.840800,,,
534582618,428353.390900,9127263.852900,,,
1124789070,427451.895000,9125700.171400,,,
614683140,424244.655700,9125714.971100,,,
352736738,417477.265000,9115617.326400,,,
301867696,414378.288200,9116735.628400,,,
301867503,414814.997000,9116593.832100,,,
1124378830,428174.656200,9140431.588600,,,
613199447,427345.504200,9137134.168600,,,
1124793069,432070.540000,9133983.954300,,,
610354312,428758.253900,9137844.740600,,,
1266553557,430135.019700,9137726.223800,,,
1111990755,428290.737000,9137616.011300,,,
1124795346,429697.308300,9132907.741900,,,
1086851759,436903.678700,9139578.086200,,,
188171415,430517.542700,9136813.739100,,,
613425863,429119.073900,9136852.330200,,,
534916995,434442.385300,9130190.184000,,,
1020166732,434433.316400,9130189.318900,,,
1011941918,432984.434500,9124525.280500,,,
362197954,434086.450800,9139763.455700,,,
620576281,428250.673800,9136044.155200,,,
340887673,420666.273500,9138694.494000,,,
561984573,428938.171600,9141488.401100,,,
721051168,422397.186000,9114578.135000,,,
201276650,423096.328000,9114614.224800,,,
529349093,430168.952600,9137345.629200,,,
273193684,429041.127100,9137264.793500,,,
629374560,430198.354700,9135674.121000,,,
122797967,435676.163100,9141074.997200,,,
1266063992,430363.329700,9136155.029700,,,
1124727278,429762.250300,9136821.678200,,,
301868884,398171.720100,9124817.013100,,,
338498055,429926.301100,9136839.149400,,,
340169800,432426.632600,9140545.255800,,,
1124348063,431902.412600,9141192.959800,,,
1178309132,430738.365700,9157121.473600,,,
191907719,433438.655600,9139667.545500,,,
1350892849,439856.451800,9162436.780000,,,
622832564,437600.570000,9159252.259100,,,
9985968,430657.609000,9139457.783400,,,
8972809,429351.482800,9136788.477400,,,
